nodes,edges,iterations,damping,tolerance,smallTop,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,0,7,10,6.411764705882353,6.235294117647059,1.1640106605007482E-4,1.1454551150426553E-4,1.0,0.8398807920135578,0.48909053359260396,0.779015771444327,5.215595303398917E7,4.842539081295899E7,5,6.235294117647059,3,3.823529411764706
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,1,4,10,6.142857142857143,6.357142857142857,8.404267835594063E-5,1.0483871182957422E-4,0.9607843137254902,0.8540451360011417,0.502070572563762,0.781788662679537,1.4047019225316783E7,3.7542450334874146E7,1,5.357142857142857,7,5.714285714285714
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,2,9,0,4.0,11.222222222222221,1.234270077027175E-4,1.1309514790994905E-4,1.0,0.8616593981784959,1.0,0.6850820310905645,5.086234137493716E7,2.231788308913737E7,3,2.0,4,2.7777777777777777
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,3,6,10,5.9375,6.875,1.0337544388506318E-4,1.0545068829358969E-4,0.7543859649122807,0.9185870022093664,0.6883491731963559,0.7696889686752444,5.6829040674979694E7,3.2857259740927592E7,11,3.0,3,2.8125
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,4,16,0,8.5,8.8125,3.114597579711242E-4,1.4822202440864136E-4,1.0,0.8987788166963596,1.0,0.7236170955608515,1.877637913474234E8,5.958386667530704E7,29,8.3125,2,3.8125
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,5,7,0,3.0,9.857142857142858,1.1205919199507093E-4,7.950399755000102E-5,1.0,0.8386394283464546,1.0,0.6505527008328287,2.6246594780948218E7,1.7692921354234345E7,1,1.1428571428571428,4,2.4285714285714284
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,6,8,0,8.125,9.5,1.2421643934908182E-4,1.2943909356952931E-4,1.0,0.9064930469061995,1.0,0.6161735908421436,9.144415312504593E7,4.846782230537927E7,16,6.25,1,4.5
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,7,5,0,8.6,9.8,9.642844539705696E-5,1.279070322958351E-4,1.0,0.8819995903855368,1.0,0.6283174783107075,4.193021858825346E7,6.613920451336201E7,6,8.8,9,2.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,8,1,10,7.2727272727272725,2.909090909090909,6.429857739002823E-5,1.2824254074553994E-4,0.9230769230769231,0.9364423455332546,0.7738247133815133,0.8891317895215611,5877835.535204599,4.4074451263576895E7,0,5.181818181818182,3,4.2727272727272725
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,9,17,0,4.588235294117647,11.0,1.8518875643577917E-4,1.017255928934801E-4,1.0,0.8726940792394322,1.0,0.7034636448904704,1.0052126928227866E8,2.5634806311717343E7,15,2.823529411764706,1,2.8823529411764706
