nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,0,23,23,33.82608695652174,33.82608695652174,1.804734445456222E-4,2.3751419459770132E-4,0.9230769230769231,0.8761399431275518,0.9575510204081633,0.8832466711951327,18.760267109493988,34.99257694697577,2,3.391304347826087,1,7.782608695652174
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,1,22,22,98.86363636363636,98.86363636363636,1.4783224312308233E-4,5.614047633319691E-4,0.8867924528301887,0.850211692428364,0.9085714285714286,0.8431168831168834,10.591939002345073,168.41119979024234,1,26.363636363636363,13,31.5
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,2,10,10,32.5,32.5,8.121155146263418E-5,2.3373045249171575E-4,0.8518518518518519,0.9024141641233762,0.8971428571428571,0.8873039803644336,3.156499515779778,24.027570696069642,0,2.5,5,7.6
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,3,22,22,23.90909090909091,23.90909090909091,1.9201399132139972E-4,1.7047041798294593E-4,0.9607843137254902,0.8880195774807821,0.9624489795918367,0.9043364618574702,12.584104741147387,19.673000643570415,0,1.6818181818181819,9,6.318181818181818
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,4,253,253,37.49802371541502,37.49802371541502,0.001424914228268597,2.2794025010383447E-4,0.7543859649122807,0.8786308886987262,0.7648979591836734,0.8777432877157718,508.44001239503564,24.31014830924909,54,6.434782608695652,68,5.932806324110672
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,5,19,19,63.1578947368421,63.1578947368421,1.304762181766161E-4,4.0437888426896214E-4,0.8867924528301887,0.8919154050294886,0.916734693877551,0.8380394185233389,10.054854652858378,66.86988094004249,0,8.473684210526315,4,13.68421052631579
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,6,161,161,27.60248447204969,27.60248447204969,0.00101211994710928,1.8860405486139867E-4,0.7543859649122807,0.8829312149991817,0.8204081632653061,0.8869306863292384,198.15536924404523,16.387106803672054,7,2.2546583850931676,23,5.192546583850931
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,7,73,73,39.136986301369866,39.136986301369866,4.43097807623784E-4,2.5140772352808015E-4,0.8181818181818182,0.8930053078213557,0.8416326530612245,0.8791601032967206,140.49128428769896,26.906345636759468,8,3.452054794520548,23,9.054794520547945
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,8,72,72,28.958333333333332,28.958333333333332,4.401894478477084E-4,1.9641704631552165E-4,0.8867924528301887,0.8925917081138525,0.9020408163265307,0.8977812369261251,113.54809009617982,16.93464604855444,5,1.9722222222222223,23,5.513888888888889
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,9,698,698,50.03868194842407,50.03868194842407,0.0036129616643138717,2.778739979529586E-4,0.7241379310344828,0.8651667249855676,0.7208163265306122,0.8469502659212861,509.08791345547957,21.01337937431221,5,6.921203438395415,416,6.06160458452722
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,10,51,51,35.31372549019608,35.31372549019608,3.0302536848865626E-4,2.1619943904268018E-4,0.8518518518518519,0.8841214232136635,0.7926530612244898,0.8661371804189432,48.067651069903135,18.37437592992304,15,3.1176470588235294,4,6.333333333333333
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,11,8,8,43.5,43.5,6.678165742916414E-5,2.7533093149606085E-4,0.9230769230769231,0.9056263853711135,0.8955102040816326,0.886463659354445,2.103079255562919,53.96512308085364,0,4.125,0,11.5
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,12,99,99,44.58585858585859,44.58585858585859,6.417986376420406E-4,2.8493426182715125E-4,0.8518518518518519,0.8660602318619431,0.7648979591836734,0.8483617398053638,200.2161619091219,27.131201105328184,13,4.585858585858586,32,7.787878787878788
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,13,40,40,84.0,84.0,2.5157662301691474E-4,5.030760325341413E-4,0.9607843137254902,0.8570223922111617,0.7387755102040816,0.8368382289403643,34.43440384822654,114.3757029363428,1,44.55,12,7.025
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,14,15,15,65.4,65.4,1.0185272230914998E-4,4.004298774447119E-4,0.8518518518518519,0.8881491660255995,0.8644897959183674,0.857065762906809,2.2810086137785226,65.60761702570314,0,19.866666666666667,3,11.066666666666666
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,15,40,40,38.3,38.3,2.657817458505498E-4,2.559698887873496E-4,1.0,0.8981590390492773,0.8857142857142857,0.8852052010129496,60.01948607626836,34.06792844500827,11,3.85,6,9.0
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,16,8,8,38.375,38.375,6.324772804813328E-5,2.515848728099047E-4,0.8518518518518519,0.8970500560400672,0.8187755102040817,0.896530612244898,1.7371407210093044,20.18799055579812,13,2.375,2,9.5
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,17,39,39,33.12820512820513,33.12820512820513,2.445605914338546E-4,2.1906678245022502E-4,1.0,0.886155250485032,0.9559183673469388,0.8860639691561553,46.61658238005002,29.92557151877105,2,2.6666666666666665,14,8.23076923076923
