nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std
8846,31839,100,0.85,1.0E-4,30,30,1.0,100,0.85,1.0E-4,0.36363636363636365,0.9107431108683314,1.0,0.14679276108029948,0.0,8.90125,28.0,10.8029624843142,
8846,31839,100,0.85,1.0E-4,30,33,1.1,100,0.85,1.0E-4,0.42857142857142855,0.9139571720317877,1.0,0.14052798920718282,0.0,8.84875,27.0,10.746435382837419,
8846,31839,100,0.85,1.0E-4,30,36,1.2,100,0.85,1.0E-4,0.42857142857142855,0.9151293400078809,1.0,0.13940618457476106,0.0,8.785,27.0,10.691645102602312,
8846,31839,100,0.85,1.0E-4,30,39,1.3,100,0.85,1.0E-4,0.3953488372093023,0.9163255729289037,1.0,0.1390041238519478,0.0,8.69125,27.0,10.572649783166943,
8846,31839,100,0.85,1.0E-4,30,42,1.4,100,0.85,1.0E-4,0.4634146341463415,0.9194811006796688,1.0,0.1354205729449646,0.0,8.62625,27.0,10.494239416818163,
8846,31839,100,0.85,1.0E-4,30,45,1.5,100,0.85,1.0E-4,0.36363636363636365,0.9193804248306905,1.0,0.13485471800779028,0.0,8.62,27.0,10.501933155376681,
8846,31839,100,0.85,1.0E-4,30,48,1.6,100,0.85,1.0E-4,0.3953488372093023,0.9214992628523143,1.0,0.13421272634841372,0.0,8.53625,28.0,10.421069327928876,
8846,31839,100,0.85,1.0E-4,30,51,1.7,100,0.85,1.0E-4,0.42857142857142855,0.9230625314605281,1.0,0.13154773953255683,0.0,8.485,27.0,10.340564539714455,
8846,31839,100,0.85,1.0E-4,30,54,1.8,100,0.85,1.0E-4,0.42857142857142855,0.9253583841289431,1.0,0.12884039399259903,0.0,8.40875,27.0,10.266166443103288,
8846,31839,100,0.85,1.0E-4,30,57,1.9,100,0.85,1.0E-4,0.42857142857142855,0.9249574684481665,1.0,0.1299989483920117,0.0,8.4225,27.0,10.284648450481912,
8846,31839,100,0.85,1.0E-4,30,60,2.0,100,0.85,1.0E-4,0.4634146341463415,0.9267586495491646,1.0,0.12703081897631371,0.0,8.3675,27.0,10.215793838464048,
8846,31839,100,0.85,1.0E-4,30,63,2.1,100,0.85,1.0E-4,0.3953488372093023,0.9292224077940022,1.0,0.12378718459796821,0.0,8.29125,27.0,10.145142849536422,
8846,31839,100,0.85,1.0E-4,30,66,2.2,100,0.85,1.0E-4,0.3953488372093023,0.9266265467836959,1.0,0.12832777273021362,0.0,8.2575,27.0,10.09696458100156,
8846,31839,100,0.85,1.0E-4,30,69,2.3,100,0.85,1.0E-4,0.3953488372093023,0.930325226759496,1.0,0.12209372353903294,0.0,8.19125,27.0,10.037787277956232,
8846,31839,100,0.85,1.0E-4,30,72,2.4,100,0.85,1.0E-4,0.42857142857142855,0.9296552149408295,1.0,0.1249294712544331,0.0,8.14375,27.0,9.984016523298626,
8846,31839,100,0.85,1.0E-4,30,75,2.5,100,0.85,1.0E-4,0.4634146341463415,0.930462427093761,1.0,0.1221610323653593,0.0,8.14875,27.0,9.988824927763025,
8846,31839,100,0.85,1.0E-4,30,78,2.6,100,0.85,1.0E-4,0.4634146341463415,0.931960487890042,1.0,0.11932909707676971,0.0,8.07375,27.0,9.90584731042731,
8846,31839,100,0.85,1.0E-4,30,81,2.7,100,0.85,1.0E-4,0.42857142857142855,0.932496131593152,1.0,0.12005318828538221,0.0,8.045,27.0,9.878789146449073,
8846,31839,100,0.85,1.0E-4,30,84,2.8,100,0.85,1.0E-4,0.4634146341463415,0.9333254233551691,1.0,0.1177375442092588,0.0,8.0275,27.0,9.842979414283054,
8846,31839,100,0.85,1.0E-4,30,87,2.9,100,0.85,1.0E-4,0.5,0.9356650949415029,1.0,0.11636518209883769,0.0,7.96125,27.0,9.778662916651745,
8846,31839,100,0.85,1.0E-4,30,90,3.0,100,0.85,1.0E-4,0.4634146341463415,0.9345906516834388,1.0,0.11716348603865374,0.0,7.92125,27.0,9.743590120561313,
8846,31839,100,0.85,1.0E-4,30,93,3.1,100,0.85,1.0E-4,0.4634146341463415,0.9367683641034303,1.0,0.11300171102640547,0.0,7.88375,27.0,9.70992975965841,
8846,31839,100,0.85,1.0E-4,30,96,3.2,100,0.85,1.0E-4,0.36363636363636365,0.9357973476834256,1.0,0.11692902905892316,0.0,7.85375,27.0,9.690710032680784,
8846,31839,100,0.85,1.0E-4,30,99,3.3,100,0.85,1.0E-4,0.5,0.9387941361990707,1.0,0.11019327514437946,0.0,7.79875,27.0,9.630070012076756,
8846,31839,100,0.85,1.0E-4,30,102,3.4,100,0.85,1.0E-4,0.4634146341463415,0.9386534236357201,1.0,0.11272967018677604,0.0,7.765,27.0,9.586697815202063,
8846,31839,100,0.85,1.0E-4,30,105,3.5,100,0.85,1.0E-4,0.42857142857142855,0.9397016462666151,1.0,0.11122003398455856,0.0,7.74125,28.0,9.557159538142074,
8846,31839,100,0.85,1.0E-4,30,108,3.6,100,0.85,1.0E-4,0.5,0.9398173930197598,1.0,0.10951680023425443,0.0,7.71125,27.0,9.536266220985025,
8846,31839,100,0.85,1.0E-4,30,111,3.7,100,0.85,1.0E-4,0.4634146341463415,0.9406450599019349,1.0,0.10969757437295771,0.0,7.6475,27.0,9.460351143060176,
8846,31839,100,0.85,1.0E-4,30,114,3.8,100,0.85,1.0E-4,0.42857142857142855,0.9411291484710551,1.0,0.10918293422295192,0.0,7.6175,27.0,9.430333703003305,
8846,31839,100,0.85,1.0E-4,30,117,3.9,100,0.85,1.0E-4,0.5,0.9416197648006908,1.0,0.10931415292596379,0.0,7.5925,26.0,9.41535680417901,
8846,31839,100,0.85,1.0E-4,30,120,4.0,100,0.85,1.0E-4,0.4634146341463415,0.94237921058773,1.0,0.10859305516099274,0.0,7.56875,26.0,9.404933462683296,
8846,31839,100,0.85,1.0E-4,30,123,4.1,100,0.85,1.0E-4,0.5,0.9426426970552402,1.0,0.1072827637960757,0.0,7.50875,27.0,9.339829946926228,
8846,31839,100,0.85,1.0E-4,30,126,4.2,100,0.85,1.0E-4,0.4634146341463415,0.9425963824569774,1.0,0.10776404947266413,0.0,7.51375,27.0,9.352529654457129,
8846,31839,100,0.85,1.0E-4,30,129,4.3,100,0.85,1.0E-4,0.5,0.9444832172383841,1.0,0.10502630122907416,0.0,7.44875,26.0,9.279001747898315,
8846,31839,100,0.85,1.0E-4,30,132,4.4,100,0.85,1.0E-4,0.4634146341463415,0.9444738725380176,1.0,0.10654500222420452,0.0,7.44125,27.0,9.275588845863101,
8846,31839,100,0.85,1.0E-4,30,135,4.5,100,0.85,1.0E-4,0.5,0.944413657372388,1.0,0.10578420834527515,0.0,7.445,27.0,9.27372497974789,
8846,31839,100,0.85,1.0E-4,30,138,4.6,100,0.85,1.0E-4,0.5,0.9456206327854889,1.0,0.10417673403191924,0.0,7.39125,27.0,9.223918551109394,
8846,31839,100,0.85,1.0E-4,30,141,4.7,100,0.85,1.0E-4,0.5,0.9444357901101931,1.0,0.10650068299847686,0.0,7.4025,27.0,9.244214068810825,
8846,31839,100,0.85,1.0E-4,30,144,4.8,100,0.85,1.0E-4,0.4634146341463415,0.9454417169266337,1.0,0.10393286592261407,0.0,7.37125,27.0,9.210777569646332,
8846,31839,100,0.85,1.0E-4,30,147,4.9,100,0.85,1.0E-4,0.42857142857142855,0.9458848683951814,1.0,0.10359255257271321,0.0,7.36875,27.0,9.199607243654482,
8846,31839,100,0.85,1.0E-4,30,150,5.0,100,0.85,1.0E-4,0.5,0.947373091180125,1.0,0.10107525295095872,0.0,7.31,27.0,9.144337045406845,
8846,31839,100,0.85,1.0E-4,30,153,5.1,100,0.85,1.0E-4,0.4634146341463415,0.9474889392940536,1.0,0.10010022330602528,0.0,7.27875,26.0,9.116251885369337,
8846,31839,100,0.85,1.0E-4,30,156,5.2,100,0.85,1.0E-4,0.5,0.9476066181003492,1.0,0.10036773847703238,0.0,7.2225,27.0,9.063553042267694,
8846,31839,100,0.85,1.0E-4,30,159,5.3,100,0.85,1.0E-4,0.4634146341463415,0.9487671828024244,1.0,0.09954507101409282,0.0,7.24125,27.0,9.085320491732805,
8846,31839,100,0.85,1.0E-4,30,162,5.4,100,0.85,1.0E-4,0.5,0.9477857238915349,1.0,0.09996533830532023,0.0,7.2,27.0,9.043505957315448,
8846,31839,100,0.85,1.0E-4,30,165,5.5,100,0.85,1.0E-4,0.5,0.949213021770352,1.0,0.0980480153129785,0.0,7.17625,27.0,9.013333785980635,
8846,31839,100,0.85,1.0E-4,30,168,5.6,100,0.85,1.0E-4,0.4634146341463415,0.9493518136664737,1.0,0.09669644623996375,0.0,7.1675,26.0,8.987738522565062,
8846,31839,100,0.85,1.0E-4,30,171,5.7,100,0.85,1.0E-4,0.4634146341463415,0.9504798258799334,1.0,0.09851729989890616,0.0,7.14875,27.0,8.983686517098645,
8846,31839,100,0.85,1.0E-4,30,174,5.8,100,0.85,1.0E-4,0.5384615384615384,0.9500613853625235,1.0,0.09608806132377676,0.0,7.1275,27.0,8.956352145265393,
8846,31839,100,0.85,1.0E-4,30,177,5.9,100,0.85,1.0E-4,0.5384615384615384,0.9519217220353066,1.0,0.09235200341429076,0.0,7.1025,26.0,8.917790855923904,
8846,31839,100,0.85,1.0E-4,30,180,6.0,100,0.85,1.0E-4,0.5384615384615384,0.9516557902169092,1.0,0.09340734086329347,0.0,7.10625,27.0,8.930003411953436,
8846,31839,100,0.85,1.0E-4,30,183,6.1,100,0.85,1.0E-4,0.4634146341463415,0.9514203953636203,1.0,0.09526895166785523,0.0,7.11,26.0,8.929048101561555,
8846,31839,100,0.85,1.0E-4,30,186,6.2,100,0.85,1.0E-4,0.42857142857142855,0.9519625810835193,1.0,0.09567994010355901,0.0,7.0975,27.0,8.927233264007388,
8846,31839,100,0.85,1.0E-4,30,189,6.3,100,0.85,1.0E-4,0.5384615384615384,0.9525506331166613,1.0,0.09223853967637789,0.0,7.0875,27.0,8.907151270187343,
8846,31839,100,0.85,1.0E-4,30,192,6.4,100,0.85,1.0E-4,0.42857142857142855,0.9525621838308926,1.0,0.09360887736669878,0.0,7.0725,26.0,8.88663286909052,
8846,31839,100,0.85,1.0E-4,30,195,6.5,100,0.85,1.0E-4,0.5,0.9528086760664857,1.0,0.09301833011002707,0.0,7.035,26.0,8.8531788076374,
