nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std
38741,117190,100,0.85,1.0E-4,50,50,1.0,100,0.85,1.0E-4,0.5873015873015873,0.9274467185889553,1.0,0.06697225200062565,0.0,17.0775,37.0,8.064985663347457,
38741,117190,100,0.85,1.0E-4,50,55,1.1,100,0.85,1.0E-4,0.639344262295082,0.9499119736720272,1.0,0.056716835897310976,0.0,16.26625,36.0,7.841738387468688,
38741,117190,100,0.85,1.0E-4,50,60,1.2,100,0.85,1.0E-4,0.639344262295082,0.9593928135717725,1.0,0.04923329883887965,0.0,15.29875,34.0,7.5087947393373335,
38741,117190,100,0.85,1.0E-4,50,65,1.3,100,0.85,1.0E-4,0.6666666666666666,0.9649302324327542,1.0,0.044744494885766345,0.0,14.4675,35.0,7.2851865967866605,
38741,117190,100,0.85,1.0E-4,50,70,1.4,100,0.85,1.0E-4,0.6666666666666666,0.9677955586902773,1.0,0.04203699610245322,0.0,13.99375,33.0,6.916011201371785,
38741,117190,100,0.85,1.0E-4,50,75,1.5,100,0.85,1.0E-4,0.6949152542372882,0.969639220931799,1.0,0.04101755763039381,0.0,13.42375,36.0,6.84318536483559,
38741,117190,100,0.85,1.0E-4,50,80,1.6,100,0.85,1.0E-4,0.7241379310344828,0.972639443138331,1.0,0.03746382092250274,0.0,13.18,37.0,6.838684083944805,
38741,117190,100,0.85,1.0E-4,50,85,1.7,100,0.85,1.0E-4,0.6949152542372882,0.9758060973737297,1.0,0.03500696254162834,0.0,12.4575,32.0,6.578046347510786,
38741,117190,100,0.85,1.0E-4,50,90,1.8,100,0.85,1.0E-4,0.7241379310344828,0.9765540089511063,1.0,0.03537782593401814,0.0,12.23625,31.0,6.339592726469107,
38741,117190,100,0.85,1.0E-4,50,95,1.9,100,0.85,1.0E-4,0.6666666666666666,0.9778433835615918,1.0,0.03451446190571018,0.0,11.9725,33.0,6.267514958099422,
38741,117190,100,0.85,1.0E-4,50,100,2.0,100,0.85,1.0E-4,0.6949152542372882,0.9797090743295647,1.0,0.03202863456658371,0.0,11.6725,33.0,6.251619290231932,
38741,117190,100,0.85,1.0E-4,50,105,2.1,100,0.85,1.0E-4,0.7241379310344828,0.9806409986174335,1.0,0.03066563472392844,0.0,11.36375,29.0,6.007198676379864,
38741,117190,100,0.85,1.0E-4,50,110,2.2,100,0.85,1.0E-4,0.7543859649122807,0.9814668674232611,1.0,0.03041445847577534,0.0,11.07125,33.0,5.837694188418917,
38741,117190,100,0.85,1.0E-4,50,115,2.3,100,0.85,1.0E-4,0.7241379310344828,0.9827246264067824,1.0,0.02976276628463057,0.0,11.01,29.0,5.827726829562278,
38741,117190,100,0.85,1.0E-4,50,120,2.4,100,0.85,1.0E-4,0.639344262295082,0.9835650764379661,1.0,0.029706526907701234,0.0,10.86375,32.0,5.776476948582068,
