nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std
4000,118958,100,0.85,1.0E-4,10,10,1.0,100,0.85,1.0E-4,0.05263157894736842,0.42068464978004544,1.0,0.20201239083762815,1.0,8.2175,9.0,0.9111496858365251,
4000,118958,100,0.85,1.0E-4,10,11,1.1,100,0.85,1.0E-4,0.05263157894736842,0.42168546033000426,1.0,0.21095858786072944,1.0,8.2175,9.0,0.9042642036484683,
4000,118958,100,0.85,1.0E-4,10,12,1.2,100,0.85,1.0E-4,0.05263157894736842,0.4182340474068422,1.0,0.2048849858661952,1.0,8.22875,9.0,0.8625099637105637,
4000,118958,100,0.85,1.0E-4,10,13,1.3,100,0.85,1.0E-4,0.05263157894736842,0.43528862026346665,1.0,0.2075741760816455,1.0,8.2075,9.0,0.8569969369840247,
4000,118958,100,0.85,1.0E-4,10,14,1.4,100,0.85,1.0E-4,0.05263157894736842,0.4250510110804243,1.0,0.20425035571006664,1.0,8.22125,9.0,0.8454575314585607,
4000,118958,100,0.85,1.0E-4,10,15,1.5,100,0.85,1.0E-4,0.05263157894736842,0.4205460185239604,1.0,0.20309696139215475,1.0,8.25125,9.0,0.8488954220043825,
4000,118958,100,0.85,1.0E-4,10,16,1.6,100,0.85,1.0E-4,0.05263157894736842,0.41661716605118393,1.0,0.20150212054823202,1.0,8.2625,9.0,0.8432637487761465,
4000,118958,100,0.85,1.0E-4,10,17,1.7,100,0.85,1.0E-4,0.05263157894736842,0.4198074276944258,1.0,0.20452382547411607,1.0,8.24,9.0,0.8659676668328892,
4000,118958,100,0.85,1.0E-4,10,18,1.8,100,0.85,1.0E-4,0.05263157894736842,0.42250138019874967,1.0,0.1996311288089598,1.0,8.2625,9.0,0.8298154915401375,
4000,118958,100,0.85,1.0E-4,10,19,1.9,100,0.85,1.0E-4,0.05263157894736842,0.419794665581238,1.0,0.19898685402723146,1.0,8.25125,9.0,0.8562262770436321,
4000,118958,100,0.85,1.0E-4,10,20,2.0,100,0.85,1.0E-4,0.05263157894736842,0.42836005444074443,1.0,0.19909266078178425,1.0,8.225,9.0,0.8842369591913697,
4000,118958,100,0.85,1.0E-4,10,21,2.1,100,0.85,1.0E-4,0.05263157894736842,0.4298190270771551,1.0,0.19695987037087723,1.0,8.2075,9.0,0.8856882916692533,
4000,118958,100,0.85,1.0E-4,10,22,2.2,100,0.85,1.0E-4,0.05263157894736842,0.4274114372469646,1.0,0.19501420898582472,1.0,8.2225,9.0,0.8546892710219287,
