nodes,edges,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std,iterations alg1,damping alg1,tolerance alg1,smallTop alg1,largeTop alg1,topRatio alg1,iterations alg2,damping alg2,tolerance alg2
22015,117171,0.25,0.8826210694067856,1.0,0.14127273766289558,0.0,3.005714285714286,9.0,1.9242724572668806,100,0.85,1.0E-4,10,10,1.0,100,0.85,1.0E-4
22015,117171,0.3333333333333333,0.92106750392465,1.0,0.12097977794131676,0.0,2.2357142857142858,9.0,1.7704346289852682,100,0.85,1.0E-4,10,14,1.4,100,0.85,1.0E-4
22015,117171,0.3333333333333333,0.9426673326673347,1.0,0.10251431401133637,0.0,1.7957142857142858,8.0,1.6603730832286472,100,0.85,1.0E-4,10,18,1.8,100,0.85,1.0E-4
22015,117171,0.3333333333333333,0.9505427905427926,1.0,0.09391394010529282,0.0,1.497142857142857,8.0,1.5245581494388492,100,0.85,1.0E-4,10,22,2.2,100,0.85,1.0E-4
22015,117171,0.3333333333333333,0.9602730602730624,1.0,0.08757856212070338,0.0,1.34,7.0,1.4673007287435758,100,0.85,1.0E-4,10,26,2.6,100,0.85,1.0E-4
22015,117171,0.3333333333333333,0.9649250749250767,1.0,0.08464072023436833,0.0,1.2385714285714287,7.0,1.4107538873284187,100,0.85,1.0E-4,10,30,3.0,100,0.85,1.0E-4
22015,117171,0.3333333333333333,0.9674492174492191,1.0,0.08189997302338026,0.0,1.1085714285714285,7.0,1.3626384969864118,100,0.85,1.0E-4,10,34,3.4,100,0.85,1.0E-4
22015,117171,0.42857142857142855,0.9723238666095827,1.0,0.07239866978696576,0.0,0.9857142857142858,7.0,1.3200958530441984,100,0.85,1.0E-4,10,38,3.8,100,0.85,1.0E-4
22015,117171,0.42857142857142855,0.974445078730795,1.0,0.07099969638182597,0.0,0.9157142857142857,7.0,1.2535818070388447,100,0.85,1.0E-4,10,42,4.2,100,0.85,1.0E-4
22015,117171,0.5384615384615384,0.9768198468198489,1.0,0.06638423059807633,0.0,0.8442857142857143,6.0,1.2012060266113165,100,0.85,1.0E-4,10,46,4.6,100,0.85,1.0E-4
22015,117171,0.42857142857142855,0.9786641929499089,1.0,0.06461401329071326,0.0,0.7971428571428572,7.0,1.1971360381667369,100,0.85,1.0E-4,10,50,5.0,100,0.85,1.0E-4
22015,117171,0.5384615384615384,0.9804129204129219,1.0,0.06192814955109153,0.0,0.7942857142857143,6.0,1.1761785231704187,100,0.85,1.0E-4,10,54,5.4,100,0.85,1.0E-4
22015,117171,0.42857142857142855,0.9802559345416498,1.0,0.0631750148588449,0.0,0.7457142857142857,6.0,1.1406371295133655,100,0.85,1.0E-4,10,58,5.8,100,0.85,1.0E-4
22015,117171,0.5384615384615384,0.9814518814518829,1.0,0.06071091075592866,0.0,0.6314285714285715,7.0,1.060261808253422,100,0.85,1.0E-4,10,62,6.2,100,0.85,1.0E-4
22015,117171,0.5384615384615384,0.9793306693306709,1.0,0.06257915799329991,0.0,0.6285714285714286,7.0,1.079304386715663,100,0.85,1.0E-4,10,66,6.6,100,0.85,1.0E-4
22015,117171,0.42857142857142855,0.9798230341087498,1.0,0.06478279080573678,0.0,0.63,7.0,1.0441469518908042,100,0.85,1.0E-4,10,70,7.0,100,0.85,1.0E-4
22015,117171,0.42857142857142855,0.9813543599257897,1.0,0.06240997752830598,0.0,0.5857142857142857,7.0,1.0252923923427495,100,0.85,1.0E-4,10,74,7.4,100,0.85,1.0E-4
22015,117171,0.3333333333333333,0.9811588411588428,1.0,0.06328876425867652,0.0,0.6128571428571429,7.0,1.0420339216539694,100,0.85,1.0E-4,10,78,7.8,100,0.85,1.0E-4
22015,117171,0.42857142857142855,0.9811379097093397,1.0,0.06323283479084638,0.0,0.56,5.0,0.9888521484168254,100,0.85,1.0E-4,10,82,8.2,100,0.85,1.0E-4
22015,117171,0.42857142857142855,0.9825070167927326,1.0,0.059340697126281275,0.0,0.5528571428571428,7.0,1.0050190372854249,100,0.85,1.0E-4,10,86,8.6,100,0.85,1.0E-4
22015,117171,0.3333333333333333,0.9838528138528148,1.0,0.05790795355129778,0.0,0.5271428571428571,7.0,1.0060419514927126,100,0.85,1.0E-4,10,90,9.0,100,0.85,1.0E-4
22015,117171,0.5384615384615384,0.983443223443225,1.0,0.057003142123868526,0.0,0.5357142857142857,7.0,1.0170736332784387,100,0.85,1.0E-4,10,94,9.4,100,0.85,1.0E-4
