nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std
22015,117171,100,0.85,1.0E-4,50,50,1.0,100,0.85,1.0E-4,0.5384615384615384,0.9249374132453974,1.0,0.06406111589864495,1.0,19.9425,35.0,4.513224318599728,
22015,117171,100,0.85,1.0E-4,50,55,1.1,100,0.85,1.0E-4,0.5625,0.9348811973639506,1.0,0.057453356143460345,1.0,19.225,37.0,4.43247955438037,
22015,117171,100,0.85,1.0E-4,50,60,1.2,100,0.85,1.0E-4,0.5151515151515151,0.9402175633690121,1.0,0.05292686800030969,1.0,18.4175,34.0,4.40660796418288,
22015,117171,100,0.85,1.0E-4,50,65,1.3,100,0.85,1.0E-4,0.5625,0.9454349187703777,1.0,0.048734755985226016,1.0,17.66375,32.0,4.579649106372669,
22015,117171,100,0.85,1.0E-4,50,70,1.4,100,0.85,1.0E-4,0.6666666666666666,0.9500762135408105,1.0,0.046222604398134214,1.0,16.98625,30.0,4.419961644347155,
22015,117171,100,0.85,1.0E-4,50,75,1.5,100,0.85,1.0E-4,0.639344262295082,0.9520570918927743,1.0,0.044855161708603174,1.0,16.41125,32.0,4.363728158066221,
22015,117171,100,0.85,1.0E-4,50,80,1.6,100,0.85,1.0E-4,0.639344262295082,0.9548895543512117,1.0,0.04330592898806024,1.0,15.9175,30.0,4.290477100509918,
22015,117171,100,0.85,1.0E-4,50,85,1.7,100,0.85,1.0E-4,0.6949152542372882,0.9576773965067967,1.0,0.04169581118362054,1.0,15.4325,31.0,4.339981998810596,
22015,117171,100,0.85,1.0E-4,50,90,1.8,100,0.85,1.0E-4,0.7241379310344828,0.9593671169322192,1.0,0.04093520921193574,1.0,14.89625,31.0,4.393516352251351,
22015,117171,100,0.85,1.0E-4,50,95,1.9,100,0.85,1.0E-4,0.7241379310344828,0.962966162023915,1.0,0.03868358435506792,1.0,14.43375,33.0,4.482533986206907,
22015,117171,100,0.85,1.0E-4,50,100,2.0,100,0.85,1.0E-4,0.7241379310344828,0.9651211701865117,1.0,0.03716880603818587,1.0,14.0625,31.0,4.455737172455305,
22015,117171,100,0.85,1.0E-4,50,105,2.1,100,0.85,1.0E-4,0.7241379310344828,0.9669482145445162,1.0,0.03574812982931217,1.0,13.66,33.0,4.499933332839498,
22015,117171,100,0.85,1.0E-4,50,110,2.2,100,0.85,1.0E-4,0.7543859649122807,0.9687492179233084,1.0,0.03353098245137332,1.0,13.175,32.0,4.4670320124216705,
22015,117171,100,0.85,1.0E-4,50,115,2.3,100,0.85,1.0E-4,0.8181818181818182,0.9696782169715031,1.0,0.03243514185557178,1.0,12.84875,32.0,4.401803430129521,
22015,117171,100,0.85,1.0E-4,50,120,2.4,100,0.85,1.0E-4,0.8181818181818182,0.9720455975561423,1.0,0.032139290599255264,1.0,12.515,32.0,4.489685401005287,
22015,117171,100,0.85,1.0E-4,50,125,2.5,100,0.85,1.0E-4,0.8181818181818182,0.9725331921336372,1.0,0.03216422806567031,0.0,12.1775,31.0,4.489821126726542,
22015,117171,100,0.85,1.0E-4,50,130,2.6,100,0.85,1.0E-4,0.8181818181818182,0.9744672657880217,1.0,0.030306229655008416,0.0,11.89875,32.0,4.573674500606706,
22015,117171,100,0.85,1.0E-4,50,135,2.7,100,0.85,1.0E-4,0.8181818181818182,0.9750002159533251,1.0,0.030188671200574866,0.0,11.555,34.0,4.486866946990962,
22015,117171,100,0.85,1.0E-4,50,140,2.8,100,0.85,1.0E-4,0.8518518518518519,0.975817495438751,1.0,0.02983741701855526,0.0,11.4025,29.0,4.3741277701960195,
22015,117171,100,0.85,1.0E-4,50,145,2.9,100,0.85,1.0E-4,0.8518518518518519,0.9764001813433009,1.0,0.029745462957961447,0.0,11.16875,33.0,4.3523296563449785,
22015,117171,100,0.85,1.0E-4,50,150,3.0,100,0.85,1.0E-4,0.8518518518518519,0.9776979400855662,1.0,0.02906991025838894,0.0,10.8775,32.0,4.414464152080068,
22015,117171,100,0.85,1.0E-4,50,155,3.1,100,0.85,1.0E-4,0.8518518518518519,0.9787000159683298,1.0,0.02826020599827252,0.0,10.7,29.0,4.207136793592526,
22015,117171,100,0.85,1.0E-4,50,160,3.2,100,0.85,1.0E-4,0.8518518518518519,0.978691419157569,1.0,0.027992855102799964,0.0,10.5225,30.0,4.279251540865529,
22015,117171,100,0.85,1.0E-4,50,165,3.3,100,0.85,1.0E-4,0.8518518518518519,0.9793699466562962,1.0,0.027752049918946288,0.0,10.44625,28.0,4.194593059821179,
