nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std
6271,158575,100,0.85,1.0E-4,10,10,1.0,100,0.85,1.0E-4,0.1111111111111111,0.5772514944206151,1.0,0.19185011483021175,0.0,5.74375,9.0,1.6524484674264428,
6271,158575,100,0.85,1.0E-4,10,11,1.1,100,0.85,1.0E-4,0.1111111111111111,0.5895200836744986,1.0,0.19176031083641198,0.0,5.67875,9.0,1.6547049397097966,
6271,158575,100,0.85,1.0E-4,10,12,1.2,100,0.85,1.0E-4,0.17647058823529413,0.6383817775361927,1.0,0.18177280907683233,0.0,5.38,9.0,1.6441107018689465,
6271,158575,100,0.85,1.0E-4,10,13,1.3,100,0.85,1.0E-4,0.25,0.6377260239760276,1.0,0.17685924507984843,0.0,5.36375,9.0,1.6121215641197781,
6271,158575,100,0.85,1.0E-4,10,14,1.4,100,0.85,1.0E-4,0.25,0.6566599025974059,1.0,0.17320822011837494,0.0,5.25,9.0,1.592168332809066,
6271,158575,100,0.85,1.0E-4,10,15,1.5,100,0.85,1.0E-4,0.25,0.6619068431568463,1.0,0.1702218925648539,0.0,5.215,9.0,1.572823893511286,
6271,158575,100,0.85,1.0E-4,10,16,1.6,100,0.85,1.0E-4,0.25,0.6685772560772589,1.0,0.1680418411609474,0.0,5.1475,9.0,1.6049123807859422,
6271,158575,100,0.85,1.0E-4,10,17,1.7,100,0.85,1.0E-4,0.25,0.699881993006996,1.0,0.16028010790431654,0.0,5.005,9.0,1.5787574227854004,
6271,158575,100,0.85,1.0E-4,10,18,1.8,100,0.85,1.0E-4,0.25,0.7045369214119248,1.0,0.1578118197333337,0.0,4.925,9.0,1.6021469970012114,
6271,158575,100,0.85,1.0E-4,10,19,1.9,100,0.85,1.0E-4,0.25,0.7107773476523509,1.0,0.15786572631055523,0.0,4.9175,9.0,1.6048968035359783,
6271,158575,100,0.85,1.0E-4,10,20,2.0,100,0.85,1.0E-4,0.25,0.7280300949050976,1.0,0.15804302405501472,0.0,4.7925,9.0,1.6099514744239967,
6271,158575,100,0.85,1.0E-4,10,21,2.1,100,0.85,1.0E-4,0.25,0.7324782509157537,1.0,0.15542414300194743,0.0,4.71375,9.0,1.5958730956752167,
6271,158575,100,0.85,1.0E-4,10,22,2.2,100,0.85,1.0E-4,0.25,0.7444021603396632,1.0,0.1570085179017934,0.0,4.62125,9.0,1.586757208113453,
6271,158575,100,0.85,1.0E-4,10,23,2.3,100,0.85,1.0E-4,0.3333333333333333,0.7461667499167528,1.0,0.156375796260203,0.0,4.5875,8.0,1.6077449269084945,
6271,158575,100,0.85,1.0E-4,10,24,2.4,100,0.85,1.0E-4,0.3333333333333333,0.7531356143856179,1.0,0.15333669369587308,0.0,4.52375,8.0,1.5880604325717582,
6271,158575,100,0.85,1.0E-4,10,25,2.5,100,0.85,1.0E-4,0.3333333333333333,0.7533025308025344,1.0,0.15444359593588045,0.0,4.49875,9.0,1.6039010061409653,
6271,158575,100,0.85,1.0E-4,10,26,2.6,100,0.85,1.0E-4,0.3333333333333333,0.7570125707625741,1.0,0.15307220255596624,0.0,4.4725,9.0,1.6067805544006315,
6271,158575,100,0.85,1.0E-4,10,27,2.7,100,0.85,1.0E-4,0.3333333333333333,0.7569189144189175,1.0,0.15258052519402376,0.0,4.46875,9.0,1.59734887782851,
6271,158575,100,0.85,1.0E-4,10,28,2.8,100,0.85,1.0E-4,0.3333333333333333,0.76068306693307,1.0,0.1534826988482747,0.0,4.44125,9.0,1.5895120123799005,
6271,158575,100,0.85,1.0E-4,10,29,2.9,100,0.85,1.0E-4,0.3333333333333333,0.7849458874458907,1.0,0.14963845554680805,0.0,4.28,9.0,1.63297274931335,
6271,158575,100,0.85,1.0E-4,10,30,3.0,100,0.85,1.0E-4,0.3333333333333333,0.7881809856809892,1.0,0.14795675524261695,0.0,4.24625,8.0,1.6592501130028592,
6271,158575,100,0.85,1.0E-4,10,31,3.1,100,0.85,1.0E-4,0.3333333333333333,0.7913457375957412,1.0,0.14686185561960946,0.0,4.19875,9.0,1.6595928529311037,
6271,158575,100,0.85,1.0E-4,10,32,3.2,100,0.85,1.0E-4,0.3333333333333333,0.7936858974359012,1.0,0.1455685812877104,0.0,4.18875,9.0,1.6463971080817654,
6271,158575,100,0.85,1.0E-4,10,33,3.3,100,0.85,1.0E-4,0.3333333333333333,0.7952892940392977,1.0,0.14564278719912843,0.0,4.18875,9.0,1.6577464937378092,
6271,158575,100,0.85,1.0E-4,10,34,3.4,100,0.85,1.0E-4,0.3333333333333333,0.7949629537129576,1.0,0.14474807297106865,0.0,4.17625,9.0,1.6621329482023994,
6271,158575,100,0.85,1.0E-4,10,35,3.5,100,0.85,1.0E-4,0.3333333333333333,0.7969139194139235,1.0,0.14356251963870695,0.0,4.19,9.0,1.6511813952440237,
6271,158575,100,0.85,1.0E-4,10,36,3.6,100,0.85,1.0E-4,0.3333333333333333,0.7970188145188187,1.0,0.14323867837600732,0.0,4.18,8.0,1.6355732939859344,
6271,158575,100,0.85,1.0E-4,10,37,3.7,100,0.85,1.0E-4,0.3333333333333333,0.8005094905094947,1.0,0.14266885033179463,0.0,4.16375,9.0,1.6656638128686112,
6271,158575,100,0.85,1.0E-4,10,38,3.8,100,0.85,1.0E-4,0.3333333333333333,0.8043681318681358,1.0,0.14076218794035816,0.0,4.10375,9.0,1.6599656434697678,
6271,158575,100,0.85,1.0E-4,10,39,3.9,100,0.85,1.0E-4,0.42857142857142855,0.8063761238761278,1.0,0.1373592741164736,0.0,4.0875,8.0,1.6695339918671916,
6271,158575,100,0.85,1.0E-4,10,40,4.0,100,0.85,1.0E-4,0.42857142857142855,0.8067644855144891,1.0,0.13748731637141254,0.0,4.08875,8.0,1.6510219373164001,
6271,158575,100,0.85,1.0E-4,10,41,4.1,100,0.85,1.0E-4,0.42857142857142855,0.8090342990343027,1.0,0.13657779562574107,0.0,4.06,8.0,1.6344418007380994,
6271,158575,100,0.85,1.0E-4,10,42,4.2,100,0.85,1.0E-4,0.42857142857142855,0.8113419913419946,1.0,0.1358839954339983,0.0,4.05125,8.0,1.6699171948033833,
6271,158575,100,0.85,1.0E-4,10,43,4.3,100,0.85,1.0E-4,0.42857142857142855,0.8130640193140221,1.0,0.1352257352269446,0.0,4.0175,8.0,1.6679909322295488,
6271,158575,100,0.85,1.0E-4,10,44,4.4,100,0.85,1.0E-4,0.42857142857142855,0.8148443223443256,1.0,0.13484370479406468,0.0,4.05125,9.0,1.681851193625643,
6271,158575,100,0.85,1.0E-4,10,45,4.5,100,0.85,1.0E-4,0.42857142857142855,0.816642107892111,1.0,0.13465725940637574,0.0,4.04375,9.0,1.6872569269379218,
6271,158575,100,0.85,1.0E-4,10,46,4.6,100,0.85,1.0E-4,0.42857142857142855,0.8159169996670034,1.0,0.13406048289367334,0.0,4.05,9.0,1.70293863659264,
6271,158575,100,0.85,1.0E-4,10,47,4.7,100,0.85,1.0E-4,0.42857142857142855,0.8169164169164204,1.0,0.13278219063033345,0.0,4.04875,9.0,1.6922982708435292,
6271,158575,100,0.85,1.0E-4,10,48,4.8,100,0.85,1.0E-4,0.42857142857142855,0.8186792374292416,1.0,0.13354329545336668,0.0,4.00875,9.0,1.6915003510197684,
6271,158575,100,0.85,1.0E-4,10,49,4.9,100,0.85,1.0E-4,0.42857142857142855,0.8198068598068639,1.0,0.13419546870780324,0.0,4.02,9.0,1.6776769653303345,
6271,158575,100,0.85,1.0E-4,10,50,5.0,100,0.85,1.0E-4,0.42857142857142855,0.8218406593406631,1.0,0.13278103287328297,0.0,3.99,9.0,1.7073078222745892,
6271,158575,100,0.85,1.0E-4,10,51,5.1,100,0.85,1.0E-4,0.42857142857142855,0.8255735930735962,1.0,0.13038708449763362,0.0,3.95625,9.0,1.6939114314213715,
6271,158575,100,0.85,1.0E-4,10,52,5.2,100,0.85,1.0E-4,0.42857142857142855,0.8278055278055314,1.0,0.12882876116667655,0.0,3.95,9.0,1.712454378954371,
6271,158575,100,0.85,1.0E-4,10,53,5.3,100,0.85,1.0E-4,0.42857142857142855,0.8296499333999366,1.0,0.1273568573063909,0.0,3.9225,9.0,1.7077745020932944,
6271,158575,100,0.85,1.0E-4,10,54,5.4,100,0.85,1.0E-4,0.42857142857142855,0.8314418914418951,1.0,0.12959940236669548,0.0,3.89375,9.0,1.7255320737384165,
6271,158575,100,0.85,1.0E-4,10,55,5.5,100,0.85,1.0E-4,0.42857142857142855,0.8327093739593772,1.0,0.12983788313546588,0.0,3.87875,9.0,1.7288864732827314,
6271,158575,100,0.85,1.0E-4,10,56,5.6,100,0.85,1.0E-4,0.42857142857142855,0.8361184648684683,1.0,0.13033897848135434,0.0,3.8325,9.0,1.736935159987269,
6271,158575,100,0.85,1.0E-4,10,57,5.7,100,0.85,1.0E-4,0.42857142857142855,0.8385893273393304,1.0,0.1301109202215818,0.0,3.7825,8.0,1.7428980893901975,
