nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std
10876,39994,100,0.85,1.0E-4,10,10,1.0,100,0.85,1.0E-4,0.25,0.9358973318348359,1.0,0.11067693632310995,0.0,2.85625,9.0,3.5833763321063556,
10876,39994,100,0.85,1.0E-4,10,11,1.1,100,0.85,1.0E-4,0.17647058823529413,0.9377383829405924,1.0,0.10524254645601509,0.0,2.85,9.0,3.582247897619594,
10876,39994,100,0.85,1.0E-4,10,12,1.2,100,0.85,1.0E-4,0.17647058823529413,0.9369904850051951,1.0,0.10839901166633693,0.0,2.84625,9.0,3.5742287192483917,
10876,39994,100,0.85,1.0E-4,10,13,1.3,100,0.85,1.0E-4,0.1111111111111111,0.9354293276168315,1.0,0.1095837944519599,0.0,2.8475,9.0,3.576205216427044,
10876,39994,100,0.85,1.0E-4,10,14,1.4,100,0.85,1.0E-4,0.25,0.9357245879120917,1.0,0.10672220793518807,0.0,2.83875,9.0,3.5735484378275886,
10876,39994,100,0.85,1.0E-4,10,15,1.5,100,0.85,1.0E-4,0.1111111111111111,0.9372879897879938,1.0,0.1053051933375811,0.0,2.80125,9.0,3.5301201732377328,
10876,39994,100,0.85,1.0E-4,10,16,1.6,100,0.85,1.0E-4,0.3333333333333333,0.9386055611055649,1.0,0.1055530664713381,0.0,2.82125,9.0,3.5527170500196044,
10876,39994,100,0.85,1.0E-4,10,17,1.7,100,0.85,1.0E-4,0.1111111111111111,0.9354240204240243,1.0,0.10867406060540884,0.0,2.82375,9.0,3.5521382204948053,
10876,39994,100,0.85,1.0E-4,10,18,1.8,100,0.85,1.0E-4,0.1111111111111111,0.9383669108669145,1.0,0.10311142340835629,0.0,2.7975,9.0,3.5254778044968598,
10876,39994,100,0.85,1.0E-4,10,19,1.9,100,0.85,1.0E-4,0.1111111111111111,0.9381837606837644,1.0,0.10488092854719953,0.0,2.81375,9.0,3.546697187172877,
10876,39994,100,0.85,1.0E-4,10,20,2.0,100,0.85,1.0E-4,0.25,0.9361474983350024,1.0,0.10639659937229341,0.0,2.77625,9.0,3.4973112440130345,
10876,39994,100,0.85,1.0E-4,10,21,2.1,100,0.85,1.0E-4,0.05263157894736842,0.9372082303661293,1.0,0.10881833056990484,0.0,2.815,9.0,3.5388239571925584,
10876,39994,100,0.85,1.0E-4,10,22,2.2,100,0.85,1.0E-4,0.1111111111111111,0.9367843267843307,1.0,0.10673987424795697,0.0,2.80875,9.0,3.5358412630518354,
10876,39994,100,0.85,1.0E-4,10,23,2.3,100,0.85,1.0E-4,0.17647058823529413,0.9381539049186148,1.0,0.106972634980818,0.0,2.79375,9.0,3.5204702722079615,
10876,39994,100,0.85,1.0E-4,10,24,2.4,100,0.85,1.0E-4,0.25,0.9401863761238799,1.0,0.10321237664580336,0.0,2.7925,9.0,3.512754439183018,
10876,39994,100,0.85,1.0E-4,10,25,2.5,100,0.85,1.0E-4,0.25,0.9386275183150219,1.0,0.1054147888522585,0.0,2.81875,9.0,3.5480133085291548,
10876,39994,100,0.85,1.0E-4,10,26,2.6,100,0.85,1.0E-4,0.25,0.9397988469863507,1.0,0.10380265451521829,0.0,2.81125,9.0,3.540215168248958,
10876,39994,100,0.85,1.0E-4,10,27,2.7,100,0.85,1.0E-4,0.17647058823529413,0.9393955799102894,1.0,0.10251223891628419,0.0,2.7975,9.0,3.5176687948128373,
10876,39994,100,0.85,1.0E-4,10,28,2.8,100,0.85,1.0E-4,0.25,0.9380568389943429,1.0,0.10179364763825702,0.0,2.80125,9.0,3.5240954069803503,
10876,39994,100,0.85,1.0E-4,10,29,2.9,100,0.85,1.0E-4,0.25,0.9359993131868173,1.0,0.10374150723008913,0.0,2.77125,9.0,3.488040056751069,
10876,39994,100,0.85,1.0E-4,10,30,3.0,100,0.85,1.0E-4,0.3333333333333333,0.937749750249754,1.0,0.10273537963276076,0.0,2.805,9.0,3.531568348482017,
10876,39994,100,0.85,1.0E-4,10,31,3.1,100,0.85,1.0E-4,0.3333333333333333,0.9412117049617088,1.0,0.10086603217291432,0.0,2.8175,9.0,3.5371872653282015,
10876,39994,100,0.85,1.0E-4,10,32,3.2,100,0.85,1.0E-4,0.25,0.9376018772893814,1.0,0.10503026160513891,0.0,2.7725,9.0,3.4890175909559416,
10876,39994,100,0.85,1.0E-4,10,33,3.3,100,0.85,1.0E-4,0.17647058823529413,0.9382504750151845,1.0,0.10270752193129906,0.0,2.77875,9.0,3.5003283328139374,
10876,39994,100,0.85,1.0E-4,10,34,3.4,100,0.85,1.0E-4,0.17647058823529413,0.9403654433801525,1.0,0.10261986795393266,0.0,2.775,9.0,3.49347606260584,
10876,39994,100,0.85,1.0E-4,10,35,3.5,100,0.85,1.0E-4,0.3333333333333333,0.9396174658674696,1.0,0.10289430936002142,0.0,2.7675,9.0,3.489046252201309,
10876,39994,100,0.85,1.0E-4,10,36,3.6,100,0.85,1.0E-4,0.17647058823529413,0.9378716871363966,1.0,0.10342651878275438,0.0,2.7375,9.0,3.4523316396313954,
10876,39994,100,0.85,1.0E-4,10,37,3.7,100,0.85,1.0E-4,0.3333333333333333,0.9395071595071635,1.0,0.1004547646699882,0.0,2.74875,9.0,3.4641915994211403,
10876,39994,100,0.85,1.0E-4,10,38,3.8,100,0.85,1.0E-4,0.42857142857142855,0.9383870296370338,1.0,0.10259509269146214,0.0,2.76625,9.0,3.478736974463577,
10876,39994,100,0.85,1.0E-4,10,39,3.9,100,0.85,1.0E-4,0.42857142857142855,0.9383553946053983,1.0,0.10420991486026757,0.0,2.75875,9.0,3.4706697390417314,
10876,39994,100,0.85,1.0E-4,10,40,4.0,100,0.85,1.0E-4,0.42857142857142855,0.9379649517149558,1.0,0.10320271376916337,0.0,2.75125,9.0,3.465454290204965,
10876,39994,100,0.85,1.0E-4,10,41,4.1,100,0.85,1.0E-4,0.3333333333333333,0.9386122211122248,1.0,0.10253897539148263,0.0,2.78,9.0,3.488423712796368,
10876,39994,100,0.85,1.0E-4,10,42,4.2,100,0.85,1.0E-4,0.42857142857142855,0.938871545121549,1.0,0.1028885392450374,0.0,2.75,9.0,3.4713109915419564,
10876,39994,100,0.85,1.0E-4,10,43,4.3,100,0.85,1.0E-4,0.3333333333333333,0.9378954378954424,1.0,0.10403253778107122,0.0,2.7625,9.0,3.480817971396953,
10876,39994,100,0.85,1.0E-4,10,44,4.4,100,0.85,1.0E-4,0.3333333333333333,0.9367141192141233,1.0,0.10552171737458953,0.0,2.7175,9.0,3.4282202015039815,
10876,39994,100,0.85,1.0E-4,10,45,4.5,100,0.85,1.0E-4,0.3333333333333333,0.9385859973360009,1.0,0.1039736813870557,0.0,2.73,9.0,3.448492424234103,
