nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std
8846,31839,100,0.85,1.0E-4,10,10,1.0,100,0.85,1.0E-4,0.42857142857142855,0.9416304528804555,1.0,0.10040923830080613,0.0,2.69125,9.0,3.497988484472183,
8846,31839,100,0.85,1.0E-4,10,11,1.1,100,0.85,1.0E-4,0.42857142857142855,0.943899850149853,1.0,0.10120564343040174,0.0,2.6875,9.0,3.4928274721205455,
8846,31839,100,0.85,1.0E-4,10,12,1.2,100,0.85,1.0E-4,0.25,0.9427754537129566,1.0,0.1040478756942519,0.0,2.69375,9.0,3.5032072358768613,
8846,31839,100,0.85,1.0E-4,10,13,1.3,100,0.85,1.0E-4,0.42857142857142855,0.944607892107895,1.0,0.09756671237887504,0.0,2.6925,9.0,3.5047030901347407,
8846,31839,100,0.85,1.0E-4,10,14,1.4,100,0.85,1.0E-4,0.25,0.9417643814518842,1.0,0.1038448366395057,0.0,2.71375,9.0,3.5326068189794344,
8846,31839,100,0.85,1.0E-4,10,15,1.5,100,0.85,1.0E-4,0.25,0.9424004120879151,1.0,0.10346227497780351,0.0,2.66625,9.0,3.4669671093767245,
8846,31839,100,0.85,1.0E-4,10,16,1.6,100,0.85,1.0E-4,0.42857142857142855,0.9454150016650046,1.0,0.10004270244357069,0.0,2.65875,9.0,3.4662369274906752,
8846,31839,100,0.85,1.0E-4,10,17,1.7,100,0.85,1.0E-4,0.25,0.9423982267732294,1.0,0.10460650583437495,0.0,2.655,9.0,3.4700108068995976,
8846,31839,100,0.85,1.0E-4,10,18,1.8,100,0.85,1.0E-4,0.25,0.9417914377289405,1.0,0.10266962362055773,0.0,2.6525,9.0,3.4650748548913053,
8846,31839,100,0.85,1.0E-4,10,19,1.9,100,0.85,1.0E-4,0.3333333333333333,0.9420354645354676,1.0,0.1028048481680323,0.0,2.62875,9.0,3.446146171812798,
8846,31839,100,0.85,1.0E-4,10,20,2.0,100,0.85,1.0E-4,0.3333333333333333,0.9425474525474554,1.0,0.10135819537701327,0.0,2.64,9.0,3.4493332689086453,
8846,31839,100,0.85,1.0E-4,10,21,2.1,100,0.85,1.0E-4,0.3333333333333333,0.9452518315018343,1.0,0.10033215576711285,0.0,2.61375,9.0,3.4208275223255558,
8846,31839,100,0.85,1.0E-4,10,22,2.2,100,0.85,1.0E-4,0.25,0.9431604853479879,1.0,0.10204056414503176,0.0,2.62375,9.0,3.4296043412469603,
8846,31839,100,0.85,1.0E-4,10,23,2.3,100,0.85,1.0E-4,0.25,0.9431117840492866,1.0,0.10024171034535362,0.0,2.59625,9.0,3.406719233735002,
8846,31839,100,0.85,1.0E-4,10,24,2.4,100,0.85,1.0E-4,0.17647058823529413,0.9416183571330657,1.0,0.10291431751958399,0.0,2.60625,9.0,3.408989723877149,
8846,31839,100,0.85,1.0E-4,10,25,2.5,100,0.85,1.0E-4,0.25,0.9409493631368662,1.0,0.1034101584212963,0.0,2.61125,9.0,3.4205443188913667,
8846,31839,100,0.85,1.0E-4,10,26,2.6,100,0.85,1.0E-4,0.42857142857142855,0.9451232101232128,1.0,0.0977966989328333,0.0,2.58625,9.0,3.398170233743448,
8846,31839,100,0.85,1.0E-4,10,27,2.7,100,0.85,1.0E-4,0.42857142857142855,0.9443339993340021,1.0,0.09912761344794419,0.0,2.5875,9.0,3.3929844900912824,
8846,31839,100,0.85,1.0E-4,10,28,2.8,100,0.85,1.0E-4,0.17647058823529413,0.9437071017218108,1.0,0.10048925732892856,0.0,2.57375,9.0,3.382981072589677,
8846,31839,100,0.85,1.0E-4,10,29,2.9,100,0.85,1.0E-4,0.3333333333333333,0.9425711788211818,1.0,0.1017072932357587,0.0,2.59125,9.0,3.413088548148143,
8846,31839,100,0.85,1.0E-4,10,30,3.0,100,0.85,1.0E-4,0.25,0.9436062895437926,1.0,0.10175305604563406,0.0,2.565,9.0,3.395331353491143,
8846,31839,100,0.85,1.0E-4,10,31,3.1,100,0.85,1.0E-4,0.3333333333333333,0.941684565434568,1.0,0.10518975791470486,0.0,2.5525,9.0,3.3629962459092932,
8846,31839,100,0.85,1.0E-4,10,32,3.2,100,0.85,1.0E-4,0.25,0.9432458166833196,1.0,0.10117190447893268,0.0,2.53625,9.0,3.3557690530636934,
8846,31839,100,0.85,1.0E-4,10,33,3.3,100,0.85,1.0E-4,0.3333333333333333,0.9448447385947412,1.0,0.10069639090906066,0.0,2.53875,9.0,3.3538781190585922,
8846,31839,100,0.85,1.0E-4,10,34,3.4,100,0.85,1.0E-4,0.3333333333333333,0.9442149517149545,1.0,0.09980184395148428,0.0,2.5275,9.0,3.346527117774485,
8846,31839,100,0.85,1.0E-4,10,35,3.5,100,0.85,1.0E-4,0.3333333333333333,0.9421087246087275,1.0,0.1019848840309217,0.0,2.5375,9.0,3.357244964252683,
8846,31839,100,0.85,1.0E-4,10,36,3.6,100,0.85,1.0E-4,0.3333333333333333,0.9442649017649045,1.0,0.09672563962775352,0.0,2.5275,9.0,3.339048329988651,
8846,31839,100,0.85,1.0E-4,10,37,3.7,100,0.85,1.0E-4,0.25,0.9449536921411952,1.0,0.09804780072702957,0.0,2.53375,9.0,3.3572847566895483,
8846,31839,100,0.85,1.0E-4,10,38,3.8,100,0.85,1.0E-4,0.25,0.9445424367299399,1.0,0.10023599845004047,0.0,2.51625,9.0,3.3323769200827207,
8846,31839,100,0.85,1.0E-4,10,39,3.9,100,0.85,1.0E-4,0.3333333333333333,0.944498418248421,1.0,0.09866407388005574,0.0,2.53125,9.0,3.3595421470045586,
8846,31839,100,0.85,1.0E-4,10,40,4.0,100,0.85,1.0E-4,0.3333333333333333,0.9413686313686341,1.0,0.10323173067582712,0.0,2.5125,9.0,3.327137470859898,
8846,31839,100,0.85,1.0E-4,10,41,4.1,100,0.85,1.0E-4,0.25,0.9439397061272088,1.0,0.10089727624050954,0.0,2.53125,9.0,3.3576812590685257,
8846,31839,100,0.85,1.0E-4,10,42,4.2,100,0.85,1.0E-4,0.3333333333333333,0.9439681152181181,1.0,0.09821206161080953,0.0,2.53,9.0,3.3543404716873924,
8846,31839,100,0.85,1.0E-4,10,43,4.3,100,0.85,1.0E-4,0.3333333333333333,0.9429995004995031,1.0,0.10300605176983398,0.0,2.50875,9.0,3.334654920302849,
