nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std
38741,117190,100,0.85,1.0E-4,30,30,1.0,100,0.85,1.0E-4,0.5384615384615384,0.9153013309201796,1.0,0.08535618425874657,0.0,10.07125,24.0,5.083421430247546,
38741,117190,100,0.85,1.0E-4,30,33,1.1,100,0.85,1.0E-4,0.5789473684210527,0.9369847232173507,1.0,0.07726205957962407,0.0,9.44,24.0,4.970050301556313,
38741,117190,100,0.85,1.0E-4,30,36,1.2,100,0.85,1.0E-4,0.5384615384615384,0.9460759651148662,1.0,0.07068256914238125,0.0,9.0275,25.0,4.830553151555212,
38741,117190,100,0.85,1.0E-4,30,39,1.3,100,0.85,1.0E-4,0.5384615384615384,0.9521512989581018,1.0,0.06659343255781784,0.0,8.47875,24.0,4.606739458391369,
38741,117190,100,0.85,1.0E-4,30,42,1.4,100,0.85,1.0E-4,0.6216216216216216,0.9577517140197952,1.0,0.06180842340256892,0.0,8.17,24.0,4.501510857478853,
38741,117190,100,0.85,1.0E-4,30,45,1.5,100,0.85,1.0E-4,0.6666666666666666,0.9619790627027885,1.0,0.057078241450127305,0.0,7.8125,24.0,4.346532382255997,
38741,117190,100,0.85,1.0E-4,30,48,1.6,100,0.85,1.0E-4,0.6216216216216216,0.964196173951862,1.0,0.05516870978739976,0.0,7.5325,24.0,4.223025426160728,
38741,117190,100,0.85,1.0E-4,30,51,1.7,100,0.85,1.0E-4,0.6666666666666666,0.9666856907719056,1.0,0.05265907493941595,0.0,7.33875,22.0,4.141436760050792,
38741,117190,100,0.85,1.0E-4,30,54,1.8,100,0.85,1.0E-4,0.6666666666666666,0.9688218711238118,1.0,0.050516262312203734,0.0,7.20625,23.0,4.093740458004146,
38741,117190,100,0.85,1.0E-4,30,57,1.9,100,0.85,1.0E-4,0.7142857142857143,0.9717354188742902,1.0,0.04613951870908531,0.0,7.00375,27.0,3.99327383702896,
38741,117190,100,0.85,1.0E-4,30,60,2.0,100,0.85,1.0E-4,0.7647058823529411,0.973345156977742,1.0,0.0443635992912638,0.0,6.845,25.0,3.9564472699632933,
38741,117190,100,0.85,1.0E-4,30,63,2.1,100,0.85,1.0E-4,0.7647058823529411,0.9762880854321158,1.0,0.041306938227170444,0.0,6.7375,23.0,3.8956506196013008,
38741,117190,100,0.85,1.0E-4,30,66,2.2,100,0.85,1.0E-4,0.7142857142857143,0.9756230785936034,1.0,0.04269824968843672,0.0,6.54,27.0,3.9744056159380614,
38741,117190,100,0.85,1.0E-4,30,69,2.3,100,0.85,1.0E-4,0.7142857142857143,0.9762590217538589,1.0,0.0423898722537111,0.0,6.51375,25.0,3.875217534216627,
38741,117190,100,0.85,1.0E-4,30,72,2.4,100,0.85,1.0E-4,0.7647058823529411,0.9783995762894563,1.0,0.03926141383775299,0.0,6.39,23.0,3.7064673207786414,
38741,117190,100,0.85,1.0E-4,30,75,2.5,100,0.85,1.0E-4,0.7647058823529411,0.9791808262894555,1.0,0.03843101191779208,0.0,6.235,25.0,3.7496366490634796,
38741,117190,100,0.85,1.0E-4,30,78,2.6,100,0.85,1.0E-4,0.7647058823529411,0.9803762991633563,1.0,0.03772527606147728,0.0,6.07625,23.0,3.735362892343929,
38741,117190,100,0.85,1.0E-4,30,81,2.7,100,0.85,1.0E-4,0.8181818181818182,0.9808220307917846,1.0,0.03666064257531598,0.0,6.04,23.0,3.671294049786805,
38741,117190,100,0.85,1.0E-4,30,84,2.8,100,0.85,1.0E-4,0.7647058823529411,0.9818800942297706,1.0,0.03650626311462338,0.0,5.8375,21.0,3.661091879480765,
38741,117190,100,0.85,1.0E-4,30,87,2.9,100,0.85,1.0E-4,0.7647058823529411,0.9813729084008936,1.0,0.03806109607817681,0.0,5.89375,24.0,3.637988584025519,
38741,117190,100,0.85,1.0E-4,30,90,3.0,100,0.85,1.0E-4,0.8181818181818182,0.9826745784457441,1.0,0.03378758709352002,0.0,5.83875,25.0,3.5920395929749995,
38741,117190,100,0.85,1.0E-4,30,93,3.1,100,0.85,1.0E-4,0.7647058823529411,0.9822719186648231,1.0,0.036024860952065044,0.0,5.71375,24.0,3.599209765698576,
38741,117190,100,0.85,1.0E-4,30,96,3.2,100,0.85,1.0E-4,0.7647058823529411,0.9835246140244922,1.0,0.03455535501493733,0.0,5.66625,23.0,3.585716237727129,
38741,117190,100,0.85,1.0E-4,30,99,3.3,100,0.85,1.0E-4,0.7647058823529411,0.9847429974555775,1.0,0.034175339536604996,0.0,5.6725,24.0,3.6452357605510235,
38741,117190,100,0.85,1.0E-4,30,102,3.4,100,0.85,1.0E-4,0.7647058823529411,0.9846573119717064,1.0,0.03407945677448656,0.0,5.55875,23.0,3.566377495092184,
38741,117190,100,0.85,1.0E-4,30,105,3.5,100,0.85,1.0E-4,0.7647058823529411,0.984968086941518,1.0,0.03355170998036631,0.0,5.55125,22.0,3.5220552859800485,
38741,117190,100,0.85,1.0E-4,30,108,3.6,100,0.85,1.0E-4,0.7647058823529411,0.9848891668104163,1.0,0.03368398111752221,0.0,5.555,23.0,3.4899104573040267,
38741,117190,100,0.85,1.0E-4,30,111,3.7,100,0.85,1.0E-4,0.7647058823529411,0.9853428497498677,1.0,0.032595038479318134,0.0,5.4625,23.0,3.505865620642069,
38741,117190,100,0.85,1.0E-4,30,114,3.8,100,0.85,1.0E-4,0.7647058823529411,0.9854381576677568,1.0,0.03295044755896885,0.0,5.3675,23.0,3.4467294280230356,
38741,117190,100,0.85,1.0E-4,30,117,3.9,100,0.85,1.0E-4,0.7647058823529411,0.9855898255563197,1.0,0.032605707188575854,0.0,5.33625,27.0,3.3982621937543316,
38741,117190,100,0.85,1.0E-4,30,120,4.0,100,0.85,1.0E-4,0.7142857142857143,0.9861005346053352,1.0,0.03300337249508789,0.0,5.41125,22.0,3.4895735323245445,
38741,117190,100,0.85,1.0E-4,30,123,4.1,100,0.85,1.0E-4,0.7647058823529411,0.9866226334742081,1.0,0.03154606937674643,0.0,5.2725,25.0,3.483639440298034,
38741,117190,100,0.85,1.0E-4,30,126,4.2,100,0.85,1.0E-4,0.7647058823529411,0.9862726140676185,1.0,0.03322707914126539,0.0,5.27625,24.0,3.4238043077109417,
38741,117190,100,0.85,1.0E-4,30,129,4.3,100,0.85,1.0E-4,0.7647058823529411,0.9867953251681881,1.0,0.0318164635483827,0.0,5.22875,24.0,3.4603357405748936,
38741,117190,100,0.85,1.0E-4,30,132,4.4,100,0.85,1.0E-4,0.7142857142857143,0.9868793857352302,1.0,0.031825779333266455,0.0,5.20625,25.0,3.345326731053336,
38741,117190,100,0.85,1.0E-4,30,135,4.5,100,0.85,1.0E-4,0.7142857142857143,0.9870502984918285,1.0,0.03199247259681755,0.0,5.14625,23.0,3.362641957969953,
38741,117190,100,0.85,1.0E-4,30,138,4.6,100,0.85,1.0E-4,0.7647058823529411,0.9872498706227336,1.0,0.03068290017099602,0.0,5.16375,22.0,3.427745022241299,
38741,117190,100,0.85,1.0E-4,30,141,4.7,100,0.85,1.0E-4,0.8181818181818182,0.9872919721407601,1.0,0.029507048872116665,0.0,5.17,23.0,3.433088988068908,
38741,117190,100,0.85,1.0E-4,30,144,4.8,100,0.85,1.0E-4,0.7647058823529411,0.9877177581076394,1.0,0.02985840413604136,0.0,5.21,25.0,3.382439947730041,
38741,117190,100,0.85,1.0E-4,30,147,4.9,100,0.85,1.0E-4,0.7647058823529411,0.9870918416853519,1.0,0.030831101541571933,0.0,5.10125,25.0,3.4060238457033742,
38741,117190,100,0.85,1.0E-4,30,150,5.0,100,0.85,1.0E-4,0.7647058823529411,0.9873951774624777,1.0,0.030071712069294734,0.0,5.09875,25.0,3.358794193977952,
38741,117190,100,0.85,1.0E-4,30,153,5.1,100,0.85,1.0E-4,0.7647058823529411,0.9873259336725869,1.0,0.030507516507510914,0.0,5.05875,27.0,3.3723579936744557,
38741,117190,100,0.85,1.0E-4,30,156,5.2,100,0.85,1.0E-4,0.7647058823529411,0.9873204351388623,1.0,0.03032789207755567,0.0,5.15375,23.0,3.384909295313539,
