nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std
7547,163724,100,0.85,1.0E-4,10,10,1.0,100,0.85,1.0E-4,0.05263157894736842,0.5337866539849914,1.0,0.23233201391968167,0.0,5.9175,9.0,1.8629798039699734,
7547,163724,100,0.85,1.0E-4,10,11,1.1,100,0.85,1.0E-4,0.1111111111111111,0.5681707508178109,1.0,0.22531680166780188,0.0,5.7525,9.0,1.8381359443740821,
7547,163724,100,0.85,1.0E-4,10,12,1.2,100,0.85,1.0E-4,0.1111111111111111,0.5761306422335852,1.0,0.22291124473449223,0.0,5.72,9.0,1.8375527203321265,
7547,163724,100,0.85,1.0E-4,10,13,1.3,100,0.85,1.0E-4,0.1111111111111111,0.5831993517103832,1.0,0.22134515671483615,0.0,5.70875,9.0,1.823163030971174,
7547,163724,100,0.85,1.0E-4,10,14,1.4,100,0.85,1.0E-4,0.1111111111111111,0.5854308885558903,1.0,0.22181031911078675,0.0,5.65375,9.0,1.8313549457983285,
7547,163724,100,0.85,1.0E-4,10,15,1.5,100,0.85,1.0E-4,0.1111111111111111,0.6056425314881221,1.0,0.21757272022580462,0.0,5.58625,9.0,1.845957999928493,
7547,163724,100,0.85,1.0E-4,10,16,1.6,100,0.85,1.0E-4,0.1111111111111111,0.6172353626765412,1.0,0.21749965825943354,0.0,5.52625,9.0,1.8416869814113361,
7547,163724,100,0.85,1.0E-4,10,17,1.7,100,0.85,1.0E-4,0.17647058823529413,0.6261823042153947,1.0,0.21506448416507745,0.0,5.4775,9.0,1.8700250666769154,
7547,163724,100,0.85,1.0E-4,10,18,1.8,100,0.85,1.0E-4,0.17647058823529413,0.6422320571585298,1.0,0.21651424024536572,0.0,5.375,9.0,1.9116419643855906,
7547,163724,100,0.85,1.0E-4,10,19,1.9,100,0.85,1.0E-4,0.17647058823529413,0.6514676316330751,1.0,0.20725518374774024,0.0,5.385,9.0,1.8266841544175056,
7547,163724,100,0.85,1.0E-4,10,20,2.0,100,0.85,1.0E-4,0.1111111111111111,0.6636849669937926,1.0,0.2031559687200821,0.0,5.28125,9.0,1.7985128405157413,
7547,163724,100,0.85,1.0E-4,10,21,2.1,100,0.85,1.0E-4,0.17647058823529413,0.6825136628077828,1.0,0.20066324091040033,0.0,5.1675,9.0,1.7949773675453404,
7547,163724,100,0.85,1.0E-4,10,22,2.2,100,0.85,1.0E-4,0.17647058823529413,0.6854538231376491,1.0,0.200003668244726,0.0,5.15375,9.0,1.7986414143736373,
7547,163724,100,0.85,1.0E-4,10,23,2.3,100,0.85,1.0E-4,0.17647058823529413,0.6889121356584615,1.0,0.2033235706594291,0.0,5.17875,9.0,1.8376067145882988,
7547,163724,100,0.85,1.0E-4,10,24,2.4,100,0.85,1.0E-4,0.17647058823529413,0.7012252392215652,1.0,0.19929561609135668,0.0,5.07875,9.0,1.8371304900577965,
7547,163724,100,0.85,1.0E-4,10,25,2.5,100,0.85,1.0E-4,0.17647058823529413,0.7057144265048702,1.0,0.19546361246436803,0.0,5.04375,9.0,1.8164074260748881,
7547,163724,100,0.85,1.0E-4,10,26,2.6,100,0.85,1.0E-4,0.17647058823529413,0.7075245648958908,1.0,0.19615716347564052,0.0,5.0375,9.0,1.8058498691751759,
7547,163724,100,0.85,1.0E-4,10,27,2.7,100,0.85,1.0E-4,0.17647058823529413,0.7331125186088444,1.0,0.18388206798482493,0.0,4.855,9.0,1.7766471230945104,
7547,163724,100,0.85,1.0E-4,10,28,2.8,100,0.85,1.0E-4,0.17647058823529413,0.7400130384321588,1.0,0.18193830826778176,0.0,4.8075,9.0,1.7707184276445533,
7547,163724,100,0.85,1.0E-4,10,29,2.9,100,0.85,1.0E-4,0.17647058823529413,0.7447839721552981,1.0,0.18194110340541647,0.0,4.73375,9.0,1.7868578391970638,
7547,163724,100,0.85,1.0E-4,10,30,3.0,100,0.85,1.0E-4,0.17647058823529413,0.7505340798907001,1.0,0.18070359052633145,0.0,4.70625,9.0,1.8145139672926192,
7547,163724,100,0.85,1.0E-4,10,31,3.1,100,0.85,1.0E-4,0.17647058823529413,0.7501138506101769,1.0,0.17882332717164492,0.0,4.65875,9.0,1.8006383416721967,
7547,163724,100,0.85,1.0E-4,10,32,3.2,100,0.85,1.0E-4,0.17647058823529413,0.7594283902372161,1.0,0.17663667081024736,0.0,4.60625,9.0,1.819673305156725,
7547,163724,100,0.85,1.0E-4,10,33,3.3,100,0.85,1.0E-4,0.17647058823529413,0.7593600455916656,1.0,0.17649471005259043,0.0,4.605,9.0,1.8266020365695426,
7547,163724,100,0.85,1.0E-4,10,34,3.4,100,0.85,1.0E-4,0.17647058823529413,0.7631817202405463,1.0,0.1772802928184044,0.0,4.585,9.0,1.779824429543544,
7547,163724,100,0.85,1.0E-4,10,35,3.5,100,0.85,1.0E-4,0.17647058823529413,0.7656347880061135,1.0,0.1756016585612472,0.0,4.55625,9.0,1.7823680701527391,
7547,163724,100,0.85,1.0E-4,10,36,3.6,100,0.85,1.0E-4,0.17647058823529413,0.768188820982941,1.0,0.17446149532315117,0.0,4.555,9.0,1.7739715330297727,
7547,163724,100,0.85,1.0E-4,10,37,3.7,100,0.85,1.0E-4,0.17647058823529413,0.7743043170065244,1.0,0.1729653356924555,0.0,4.48875,9.0,1.7804138388307367,
